"ID Ocorrencia","Data","Hora","Logradouro","Bairro","Natureza","Coordenadas","F1P","F2P","F3P","F4P","F5P","F6P","F7P","F8P","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","C10P"
"190064","2019-11-12","08:50","avenida gury marques",,,,,,,,,,,,,,,,,,,,,
"190065","2019-11-17","00:30","avenida conde de boa vista","jardim tijuca",,,,,,,,,,,,,,,,,,,,
"190066","2019-11-18","16:50","avenida ernesto geisel",,,,,,,,,,,,,,,,,,,,,
"190067","2019-11-27","12:20","avenida gury marques",,,,"10",,,,,,,,,,,,,,,,,
"190067","2019-11-27","12:20","avenida gury marques",,,,"10",,,,,,,,,,,,,,,,,
"190068","2019-12-07","00:11","avenida júlio de castilho",,,"-20.46061757442634, -54.63401707176363",,"8",,,,,,,"10",,,,,,,,,
"190069","2019-12-08","03:30","rua campestre",,,"-20.533543775076872, -54.65945747176243",,,,,,,,,,"10",,,,,,,,
"190070","2019-12-10","20:29","rua khalil abrão",,,,,,"8",,,,,,,"10",,,,,,,,
"190071","2019-12-15","01:30","avenida tres barras","tiradentes","carro x carro",,"6","8",,,,,,,,,,,,,,,,
"190072","2019-12-22","19:35","avenida guaicurus","b. universitario",,"-20.523902894944097, -54.5954708005992","10",,,,,,,,,"8",,,,,,,,
"190073","2019-12-23","22:45","avenida dom antonio barbosa ","vila nasser",,,,,"8",,,,,,,"10",,,,,,,,
"200001","2020-01-01","01:44","rua pororoca","pq dos laranjais","colisão frontal",,,,,,,,,,,"10",,,,,,,,
"200002","2020-01-09","11:20","rua do hipodromo","vila ipiranga","falta de atenção",,,,,,,,,,,,,,,,,,,
"200003","2020-01-12","02:38","avenida solon padilha","vila popular","falta de atenção",,"10",,,,,,,,,,,,,,,,,
"200004","2020-01-12","05:30","rua joao mizael mamoré","resid. uniao","falta de atenção",,,,,,,,,,,,,,,,,,,
"200005","2020-01-19","11:30","rua jose nogueira vieira","tiradentes",,,"10",,"8",,,,,,,,,,,,,,,
"200006","2020-01-24","18:20","ministro joao arinos","tiradentes",,,,,,,,,,,,,,,,,,,,
"200007","2020-01-25","13:40","avenida das bandeiras","marcos roberto / joquei club",,,,,,,,,,,,"8","10",,,,,,,
"200008","2020-01-26","22:44","rua santa quiteria","aero rancho",,,,,,,,,,,,,,,,,"10",,,
"200009","2020-01-28","15:09","rua dos marimbas ","caiçara",,,"6",,,,,,,,,"8",,,"10",,,,,
"200010","2020-01-28","10:00","avenida consul assaf trad","parque novos estados","moto x arvore",,,,"8",,,,,,,,,,,,,,,
"200011","2020-02-05","23:20","rua maracaibo","coophavila 2","colisão frontal",,"10",,"8",,,,,,,"6",,,,,,,,
"200012","2020-02-09","02:53","rua herminia grize","mata do jacinto","moto queda",,,,,,"10",,,,,,,,,,,,,
"200013","2020-02-15","17:45","rua araucaria","residencial buzios","colisão frontal",,"10","8","6",,,,,,,,,,,,,,,
"200014","2020-02-19","08:40","avenida guri marques","dr. albuquerque","moto x caminhão",,,,,,,,,,,,,,,"10",,"8",,
"200015","2020-02-23","01:42","avenida julio de castilho","vila alba","moto x caminhão",,,,,,,,,,,"6",,,,,,,,
"200016","2020-02-28","03:00","avenida prefeito lúdio martins coelho","taveiropolis","moto   ",,"10",,,,,,,,,,,,,,,,,
"200017","2020-03-10","07:50","avenida gabriel spipe calarge","jardim das nações","carro",,"10",,,,,,,,,,,,,,,,,
"200018","2020-04-03","09:30","avenida castelo branco","cel antonino",,,"10",,,,,,,,,,,,,,,,,
"200019","2020-04-17","08:10","rua da patria","bairro taveiropolis","carro x moto",,,,,,,,,,,,,,,,,,,
"200020","2020-05-02","20:31","avenida ernesto geisel","amambai","carro x moto",,"10",,,,,,,,,,,,,,,,,
"200021","2020-05-17","17:33","rua catigua","jardim canguru","carro x moto",,"10",,,,,,,,,"8",,,"6",,,,,
"200022","2020-05-30","21:10","avenida guri marques","vila cidade morena","carro x carro",,"10","8",,,,,,,,,,,,,,,,
"200023","2020-06-10","19:54","avenida fabio zahran","jardim america","carreta x pedestre",,,,,,,,,,,,,,,,,,,
"200024","2020-06-21","21:27","expedicionario alcindo jardim chagas, 0","aero rancho","moto x carro",,"10",,,,,"8",,,,"6",,,,,,,,
"200025","2020-06-22","19:47","avenida ernesto geisel","monte castelo","bike",,,,,"10",,,,,,,,,,,,,,
"200026","2020-06-24","17:57","rua tomas edison","vila progresso","moto x carro",,,,,,,,,,,"8",,,,,,,,
"200027","2020-07-02","18:36","rua elias catan","jardim anache","carreta  ",,,,,,,"10",,,,"8",,"6",,,,,,
"200027","2020-07-02","18:36","rua elias catan","jardim anache","carreta  ",,,,,,,"10",,,,"8",,"6",,,,,,
"200028","2020-07-01","12:30","rua barreiras","vila moreninha 2","moto x moto",,"10",,,,,,,,,,,,,,,,,
"200029","2020-07-04","23:58","avenida fabio zahran","vila carvalho","carro",,,,,,,,,,,,,,,,,,,
"200030","2020-07-06","20:03","rua praia grande","são conrado","moto x bicicleta",,"10",,,,,,,,,,,,,,,,,"6"
"200031","2020-07-11","19:50","rua onze de outubro","cabreuva","carro",,"10","8",,,,,,,,,,,,,,,,
"200032","2020-07-12","21:00","rua luis gustavo ramos de arruda","los angeles","carro",,,"10",,,,,,,,,,,,,,,,
"200033","2020-07-14","18:00","rua lino vilhacha, ","nova lima","carro x bicicleta",,"10",,,,,"6",,,,,,,,,,,,
"200034","2020-08-06","01:35","avenida rachid neder","bairro são francisco","moto",,"10",,,,,,,,,,,,,,,,,
"200035","2020-08-07","09:26","avenida prefeito ludio coelho martins","taveiropolis","moto x carro",,"10",,,,,,,,,,,,,,,,,
"200035","2020-08-07","09:26","avenida prefeito ludio coelho martins","taveiropolis","moto x carro",,"10",,,,,,,,,,,,,,,,,
"200036","2020-08-08","21:25","avenida consul assaf trad",,"moto x quebra-molas",,"10",,,,,,,,,,,,,,,,,
"200037","2020-08-15","06:42","avenida dinamarca","jardim batistao","moto x poste",,"10",,,,,,,,,,,,,,,,,
"200038","2020-08-28","11:03","avenida guaicurus","jardim colibri","carro x pedestre",,"10",,,,,,,,,"8",,,,,,,,
"200039","2020-08-28","18:50","rua joaquim vieira de almeida","vila eliane","moto x caminhão",,,,,,,,,,,,,,,,"10",,,
"200040","2020-08-28","17:00","avenida prefeito lúdio martins coelho","vila taveiropolis","carro x pedestre",,"10","8",,,,,,,,,,,,,,,,
"200041","2020-09-05","07:27","rua dinamarca","jardim batistao","moto x arvore",,"10",,,,,,,,,"6",,,,,,,,
"200042","2020-09-05","03:28","ruas campo nobre","jardim campo nobre","moto",,"10",,,,,,,,,"6",,,,,,,,
"200043","2020-09-18","16:10","avenida nasri siufi","coophavilla 2","carro x moto",,"10",,,,,,,,,"6",,,,,"8",,,
"200044","2020-09-25","07:11","avenida prefeito heráclito diniz de figueiredo","otavio pecora","carro x moto",,"6",,,,,"8",,,,,,,,,"10",,,
"200045","2020-09-26","01:00","avenida salgado filho","vila progresso","colisao frontal arvore",,"10",,,,,,,,,,,,,,,,,
"200046","2020-09-28","00:02","avenida presidente vargas","santo amaro","moto x carro",,"10",,,,,,,,"8",,,,,,,,,
"200047","2020-09-27","03:34","rua guinter rans ",,"queda",,"10",,,,,,,,,,,,,,,,,
"200048","2020-10-11","21:38","rua luis gustavo ramos de arruda, ","los angeles","moto x carro",,"10",,,,,,,,,"6",,,,,,,,
"200049","2020-10-13","15:03","rua george chaia","vila piratininga","moto x carro",,"10",,,,,,,,,"6",,,,,,,,
"200050","2020-10-19","04:38","avenida ministro joão arinos","cidade jardim","moto x carro",,"6","8",,,,,,,"10","4",,,,,,,,
"200051","2020-10-26","18:12","avenida ernesto geisel","jardim jacy","moto x carro",,"8",,,,,,,,,"6",,,,,,"10",,
"200052","2020-11-20","13:20","avenida marechal deodoro","vila bandeirante","carro x onibus",,"8",,,,,"6",,,,,,,,,,,,"10"
"200053","2020-11-26","12:30","avenida ceara","santa fé","moto x carro",,"10",,"6",,,,,,,,,,,,,,,"8"
"200054","2020-11-30","20:14","avenida costa e silva","vila olinda","carro x pedestre",,,,,,,,,,,,,,,,,,,
"200055","2020-12-02","13:41","avenida duque de caxias","vila santo antonio","caminhão x moto",,,,,,,"8",,,,"6",,,,,,,,
"200056","2020-12-13","17:20","avenida senador antonio mendes canale","vila adelina","moto x moto",,"8",,,,,,,,,"6",,,,,,,,
"200057","2020-12-14","14:11","avenida manoel da costa lima","guanandi  ","bicicleta x caminhão",,,,,,,"10",,,,,,,,,,,,
"200058","2020-12-20","23:16","avenida gualter barbosa","nova lima","moto x carro",,"10",,,,,,,,,"8",,,,,,,,
"200059","2020-03-02","05:00","rua luciana","monte carlo",,,,,,,,,,,,,,,,,,,,
"200060","2020-03-11","05:47","rua pinto dágua ",,,,,"10",,,,,,,,,,,"8",,,,,
"200061","2020-03-14","18:20","centro",,,,"10",,,,,,,,,,,,,,,,,
"200062","2020-04-24","07:13","rua lindoia",,,,,,,,,,,,,,,,,,,,,
"200063","2020-05-04","13:36","rua fernando de noronha","vila sobrinho",,,,,,,,,,,,,,,,,"10",,,
"200064","2020-05-07","15:45","rua americo carlos da costa","america",,,,,,,,,,,,,,,,,"10",,,
"200065","2020-05-07","19:33","rua para",,,,,,,,,,,,,,,,,,,,,
"200066","2020-06-05","23:50","avenida tamandare","seminario",,,,"10",,,,,,,,,,,,,,,,
"200067","2020-07-15","20:13","rua zulmira borba","oscar salazar",,,"10",,,,,,,,,"8",,,,,,,,
"200068","2020-07-25","02:58","rua thirson de almeida","aero rancho",,,"10",,,,,,,,,,,,,,,,,
"200069","2020-08-10","00:00","rua consul assaf trad",,,,"10",,,,,,,,,,,,,,,,,
"200070","2020-08-29","11:43","avenida pedro paulo soares de oliveira",,,,"8",,,,,,,,,,,,,,,"10",,
"200071","2020-09-02","11:34","carlos de carvalho",,,,,"10",,,,,,,,,,,,,,"8",,
"200072","2020-10-23","17:07","rua dom aquino","centro",,,,,,,,,,,,,,,,,,,,
"200073","2020-10-24","03:05","avenida ernesto geisel","piratininga",,,,,,,,,,,,"8",,,,,,,,
"200074","2020-11-25","19:00","rua paracatu",,,,,,,,,,,,,,,,,,,,,
"200075","2020-12-12","06:54","rua do piano","guanandi 2",,,,,,,,,,,,,,,"10",,,,,
"110001","2011-01-06","20:08","rua vinte e seis de agosto ","centro","colisão lateral",,,,,,,,,,"10",,,,,,,,,
"110002","2011-01-21","10:05","rua santa barbara com a rua minas gerais","vila rica","colisão frontal",,,,,,,"9",,,,,"10",,,,,,,
"110003","2011-01-30","01:17","avenida mato grosso ","centro","colisão transversal",,,,,,,,,,"10",,,,,,,,,
"110004","2011-02-02","09:40","avenida tamandare ","vila planalto","colisão transversal",,"8",,,,,,,,,,,,,,"10",,,
"110005","2011-02-06","23:05","rua maracaibo n?","vl kellen","choque",,"9",,,,,"10",,"8",,,,,,,,,,
"110006","2011-02-13","01:45","avenida manoel da costa lima ","vila piratininga","choque",,"10",,,,,,,,,,,,,,,,,
"110007","2011-02-19","21:00","rua oceania n?","tiradentes","colisão lateral",,"9","10",,,,"7",,,,"8",,,,,,,,
"110008","2011-02-20","01:58","rua albert sabin ","caicara","colisão transversal",,"9",,,,,,,,"10","8",,,,,,,,
"110009","2011-02-22","12:05","avenida tenente pedro correa duncan ","vila carvalho","colisão lateral",,,,,,,,,,,,,,"10",,,,,
"110010","2011-03-12","19:00","rua turiassu n.0","vila taquarussu","colisão frontal",,,,,,,"9",,,,,"10",,,,,,,
"110011","2011-03-12","10:21","rua antonio prado apos a rua escaramuca","jardim los angeles","choque",,"9","10",,,,,,,,"8",,,,,,,,
"110012","2011-03-14","04:50","avenida fernando correa da costa n? ","centro","choque",,"9","10",,,,,,,,,,,,,,,,
"110013","2011-03-25","13:40","avenida presidente ernesto geisel defronte ao n? .0","centro","queda",,"10",,"9",,,,,,,,,,,,,,,
"110014","2011-03-26","21:00","avenida consul assaf trad apos o n?00","jardim campo alto","colisão frontal",,"9","10",,,,,,,,,,,,,,,,
"110015","2011-03-26","21:30","avenida fabio zahran apos a rua oclecio barbosa mar","vila carvalho","queda",,"10",,,,,,,,,,,,,,,,,
"110016","2011-03-27","05:42","avenida consul assaf trad proximo ao n? ","jardim campo alto","queda",,"10",,,,,,,,,,,,,,,,,
"110017","2011-03-31","09:08","avenida general alberto carlos mendonca lima ","jardim sao conrado","colisão transversal",,"10",,"9",,,"8",,,,"7",,,,,,,,
"110018","2011-04-02","05:56","avenida fabio zahran ","jardim america","colisão frontal",,"10",,,,"9",,,,,,,,,,,,,
"110019","2011-04-06","20:00","rua quintino bocaiuva n?","jardim paulista","atropelamento",,,,,,,"10",,,,,,,,,,,,
"110020","2011-04-10","18:00","avenida presidente ernesto geisel ","amambai","colisão transversal",,"9",,,,,,,,"10",,,,,,,,,
"110021","2011-04-16","15:30","avenida presidente ernesto geisel ","centro","colisão transversal",,"9",,,,,,,,,,,,,,"10",,,
"110022","2011-04-17","18:20","rua escaramuca proximo a ponte sobre o correg","jd. radialista","colisão frontal",,"9",,,,,,,,,,,,,,,"10",,
"110023","2011-04-18","07:09","rua do piano ","jardim parati","colisão transversal",,,,,,,,,,,"9",,,,,"10",,,
"110024","2011-04-26","13:00","rua bento goncalves ","coronel antonino","colisão transversal",,,"8",,,,"9",,,,,,,"10",,,,,
"110025","2011-04-27","14:42","avenida ana rosa castilho ocampos ","jardim montevideu","colisão transversal",,"9",,,,,,,,,,,,"10",,,,,
"110026","2011-05-03","17:42","rua spipe calarge n? ","vl carlota","colisão transversal",,"9",,,,,"10",,,,,,,,,,,,
"110027","2011-05-05","13:32","rua brilhante com rua  hermenegildo pereira","vila carvalho","colisão traseira",,"9",,,,,,,,"10",,,,,,,,,
"110028","2011-04-30","19:40","rua rivaldi albert proximo a avenida guaicurus","jardim morenao","choque",,"9","10",,,,,,,,,,,,,,,,
"110029","2011-04-30","16:25","avenida ezequiel ferreira lima ","guanandi ii","choque",,"10",,,,,,,,,"9",,,,,,,,
"110030","2011-04-25","09:00","rua marques de pombal apos a rua da flauta","bairro tiradentes","atropelamento",,"10",,,,,,,,,,,,,,,,,
"110031","2011-05-14","16:51","avenida gury marques proximo ao n? ","vila olinda","choque",,"8","10",,,,,,,,,,,,,,,,
"110032","2011-05-15","18:30","rua evaristo roberto ferreira ","jardim campo nobre","colisão transversal",,,,,,,,,,,,"10",,,,,,,
"110033","2011-05-15","17:25","avenida vereador thirson de almeida ","conjunto aero rancho","colisão frontal",,,,,,,"10",,,,"9",,,,,,,,
"110034","2011-05-16","05:50","avenida fernando correa da costa ","centro","colisão transversal",,"9",,,,,,,,"10",,,,,,,,,
"110035","2011-05-18","12:50","rua albert sabin n? .0","caicara","colisão transversal",,"9",,,,,,,,,,,,,,"10",,,
"110036","2011-05-19","10:42","avenida tamandare ","vila planalto","colisão transversal",,"9",,,,,,,,,,,,"10",,,,,
"110037","2011-05-19","14:10","avenida afonso pena defronte ao n? 0","centro","choque",,"9",,,,,,,,,,,"10",,,,,,
"110038","2011-05-22","20:10","avenida duque de caxias apos a rua 0","vila alba","colisão frontal",,"10",,,,"9",,,,,,,,,"8",,,,
"110039","2011-05-23","17:36","avenida gury marques rua  elvira matos de oliveira","universitario","atropelamento",,"10",,,,,"9",,,,,,,,,,,,
"110040","2011-05-24","17:44","avenida carlinda pereira contar prox. a rua lise rose","jardim veraneio","choque",,"10",,,,,,,,,"9",,,,,,,,
"110041","2011-05-24","19:05","avenida fabio zahran ","jardim america","colisão transversal",,"7",,"8",,,"9",,,,,,"10",,,,,,
"110042","2011-05-11","13:00","rua petropolis ponte do corrego lagoa","vila anahy","atropelamento",,"9",,,,,,,,,,,"10",,,,,,
"110043","2011-05-24","18:37","avenida raul pires barbosa ","vila manoel da costa lima","colisão transversal",,"9",,,,,,,,,,,,,,"10",,,
"110044","2011-05-30","17:45","rua rio negro proximo a rua todos os santos","vila margarida","atropelamento",,,,,,,"10",,,,,,,,,,,,
"110045","2011-06-01","13:13","avenida das mansoes defronte ao n. ","nucleo habitacional buriti","colisão transversal",,,,,,,"10",,,,,,,,,,,,
"110046","2011-06-01","22:53","avenida mato grosso ","centro","colisão transversal",,"8","9",,,,,,,"10",,,,,,,,,
"110047","2011-06-02","20:50","rua marechal rondon apos a rua almirante barroso","centro","queda",,"10",,,,,,,,,,,,,,,,,
"110048","2011-06-01","06:25","avenida presidente vargas ","vila santo amaro","colisão frontal",,,,,,,,,,,,,,,,"10",,,
"110049","2011-06-01","17:20","rua panambi vera n?0","jardim tijuca","atropelamento",,,,,,,"10",,,,,,,,,,,,
"110050","2011-05-29","03:30","rua barra mansa com rua  kalil naban","guanandi","colisão frontal",,"9",,,,,,,,,,,,,"10",,,,
"110051","2011-06-12","09:10","rua baltico ","jardim presidente","atropelamento",,"10",,,,,,,,,,,,,,,,,
"110052","2011-06-11","04:54","rua doutor euler de azevedo defronte ao n. ","sao francisco","choque",,"10",,,,,,,,,,,,,,,,,
"110053","2011-06-11","20:00","avenida dr olavo vilella de andrade n? ","vila albuquerque","outra",,"10",,,,,,,,,,,,,"9",,,,
"110054","2011-06-15","18:30","rua catigua apos a rua boiru","jardim canguru","colisão lateral",,"9",,,,,,,,,,,,,,,"10",,
"110055","2011-06-17","06:10","avenida julio de castilho proximo a rua petrolandia","ana maria do couto","colisão transversal",,,"10",,,,,,,,"8",,"9",,,,,,
"110056","2011-06-18","12:38","avenida duque de caxias ","vila alba","colisão transversal",,"9",,,,,,,,,,,,"10",,,,,
"110057","2011-06-20","13:05","avenida presidente ernesto geisel ","jardim jacy","atropelamento",,,,,,,"9",,,,"8",,"10",,,,,,
"110058","2011-06-21","15:10","rua tupacereta ","jardim tijuca","colisão transversal",,,,,,,"10",,,,"9",,,,,,,,
"110058","2011-06-21","15:10","rua tupacereta ","jardim tijuca","colisão transversal",,,,,,,,,,,,,,,,,,,
"110059","2011-06-22","06:40","rua marques de pombal ","bairro tiradentes","colisão transversal",,,,,,,"9",,,,,,,"10",,,,,
"110060","2011-06-23","02:15","avenida mascarenhas de moraes com rua  zola cicero","monte castelo","colisão transversal",,,"10",,,,,,,,,"8",,,,"9",,,
"110061","2011-06-24","18:05","rua luiz gustavo ramos arruda ","loteamento vespasiano martins","colisão transversal",,"10",,,,,,,,,,,,,,,,,
"110062","2011-06-29","12:40","rua taquari ","santo antonio","colisão lateral",,"9",,,,,,,,,,,,,,"10",,,
"110063","2011-07-06","18:15","avenida presidente vargas proximo a r. do carmo","vila duque de caxias","colisão transversal",,,,,,,"10",,,,,,,,,,,,
"110064","2011-06-29","11:00","avenida jose nogueira vieira defronte o n? 00","tiradentes","outra",,"10",,,,,,,,,,,,,,,,,
"110065","2011-07-08","21:12","avenida marechal deodoro prox. a rua iracema","conjunto aero rancho","colisão transversal",,"9",,,,,,,,,,,,,,"10",,,
"110066","2011-07-12","07:20","avenida tamandare n? 0","vila planalto","colisão transversal",,"9",,,,,,,,,"8",,,,,"10",,,
"110067","2011-07-14","19:00","rua tapirapes ","jardim leblon","choque",,"10",,,,,,,,,"9",,,,,,,,
"110068","2011-07-15","06:52","rua da divisao proximo ao n. ","jardim parati","colisão lateral",,"9",,,,,,,,,"8",,,,,,"10",,
"110068","2011-07-15","06:52","rua da divisao proximo ao n. ","jardim parati","colisão lateral",,,,,,,,,,,,,,,,,,,
"110069","2011-07-17","17:00"," sain romain ",,,,,"10",,,,,,,,,,,,,,,,
"110069","2011-07-17","17:00"," sain romain ",,,,,,,,,,,,,,,,,,,,,
"110070","2011-07-23","16:59","rua gaspar de lemos ","universitario","colisão transversal",,,,,,,"9",,,,"8",,,"10",,,,,
"110071","2011-07-23","19:40","rua cabo verde ","jardim tijuca","colisão transversal",,,,,,,"9",,,,,,,"10",,,,,
"110072","2011-07-26","08:10","rua presidente cafe filho apos a rua  marechal hermes","vila almeida","atropelamento",,,,,,,"10",,,,,,,,,,,,
"110073","2011-07-31","00:30","rua clemente pereira defronte ao n. ","cabreuva","queda",,"10",,,,,,,,,"8",,,,,,,,
"110074","2011-08-01","10:50","avenida fabio zahran ","vila carvalho","colisão frontal",,"10",,,,,,,,,"8",,,,,,,,
"110075","2011-08-02","18:02","avenida solon padilha via de acesso da vila romana p","loteamento polo empresarial oeste","colisão transversal",,"10",,"8",,,"9",,,,,,,,,,,,
"110076","2011-08-06","05:00"," thirson de almeida ",,,,"10",,,,,,,,,,,,,,,,,
"110077","2011-08-06","00:35","rua barao de itapetininga rua luiz pereira","universitario","colisão lateral",,,,,,,,,,,"9",,,,,"10",,,
"110078","2011-08-08","01:00","rua doutor euler de azevedo defronte o n?  (posto de c","vila nossa senhora das gracas","choque",,"10","9",,,,,,,,,,,,,,,,
"110079","2011-08-09","07:55","avenida marechal deodoro proximo a rua carajas","vila bandeirante","atropelamento",,"10",,,,,"9",,,,,,,,,,,,
"110080","2011-08-13","19:20","avenida consul assaf trad ddefronte ao n. ","jardim campo alto","colisão frontal",,"10",,,,,,,,,,,,,"9",,,,
"110081","2011-07-27","09:52","avenida duque de caxias ","amambai","colisão transversal",,,,,,,"9",,,"10",,,,,,,,,
"110082","2011-08-15","13:33","rua clevelandia ","guanandi ii","colisão transversal",,"9",,,,,,,,,,,,"10",,,,,
"110083","2011-08-27","15:30","rua ovideo serra ","sao francisco","choque",,,"10",,,,,,,,,,,,,,,,
"110084","2011-08-31","13:02","rua xavantes proximo a rua severino pinheir","jardim tijuca","colisão frontal",,"9",,,,,"10",,,,,,,,,,,,
"110085","2011-09-03","19:45","avenida solon padilha apos o n? 0","loteamento polo empresarial oeste","colisão frontal",,"10",,"9",,,"8",,,,,,,,,,,,
"110086","2011-09-03","23:50","avenida dos cafezais n? ","jardim paulo coelho machado","choque",,"10",,,,,,,,,,,,,,,,,
"110087","2011-09-05","21:25","rua cachoeira do campo ","portal caioba","colisão transversal",,"9",,"8",,,,,,,"10",,,,,,,,
"110088","2011-09-07","02:10","rua da divisao ","jardim parati","colisão transversal",,"10",,,,,,,,,,,,,,,,,
"110089","2011-09-10","00:10","avenida julio de castilho ","bairro santo amaro","colisão transversal",,"8","9",,,,,,,,,"10",,,,,,,
"110090","2011-09-10","23:00","rua tamandare apos a u.c.d.b.","jd oracilia","choque",,"10",,"9",,,"8",,,,"7",,,,,,,,
"110091","2011-09-11","14:13","avenida marechal deodoro n? ","guanandi","colisão transversal",,"10",,,,,,,,,,,,,,,,,
"110092","2011-09-15","04:10","avenida gury marques entrada das moreninhas ","nao informado","choque",,"10","9",,,,,,,,,,,,,,,,
"110093","2011-09-12","09:18","rua gualter barbosa n? 0","jardim campo belo","colisão transversal",,,,,,,,,,,,,,,,"10",,,
"110094","2011-09-18","06:34","rua vitor meireles defronte ao n. ","universitario","choque",,,,,,"10",,,,,,,,,,,,,
"110095","2011-09-28","12:15","rua para rua  serra azul","vila sao jorge da lagoa","colisão lateral",,,,"7",,,,,,,"8",,,,"10",,"9",,
"110096","2011-09-25","19:20","avenida das bandeiras ","vila carvalho","colisão frontal",,,"10",,,,,,,,"8",,,,,"9",,,
"110096","2011-09-25","19:20","avenida das bandeiras ","vila carvalho","colisão frontal",,,,,,,,,,,,,,,,,,,
"110097","2011-09-30","18:18","avenida tamandare rua  landri sales","vila planalto","colisão transversal",,"10",,,,,,,,,,"9",,,,,,,
"110098","2011-10-02","04:06","rua dalila siqueira n? 0","vila popular","choque",,"10","9",,,,,,,,,,,,,,,,
"110099","2011-10-03","06:25","avenida gury marques bifurcacao em t com a rua bara","nao informado","colisão frontal",,,,,,,,,,,"9",,,,"10",,,,
"110100","2011-10-04","09:00","rua presidente cafe filho ","vila almeida","atropelamento",,,,,,,"9",,,,,,,,,"10",,,
"110101","2011-10-08","07:00","rua petropolis com av. marginal lagoa","residencial oliveira","colisão transversal",,"9",,,,,,,,,,,,,,"10",,,
"110102","2011-10-08","16:00"," lagoa da prata ",,,,,,,,,,,,,,,,,"10",,,,
"110103","2011-10-09","12:30","avenida gury marques proximo a rua agostinho bacha","nao informado","choque",,"10",,,,,,,,,,,,,,,,,
"110104","2011-10-03","16:00"," amazonas ",,,,"10",,,,,,,,,,,,,,,,,
"110105","2011-10-19","14:16","avenida tamandare defronte ao n? (cemiterio","vila neusa","colisão transversal",,"9",,,,,,,,,,,,,,"10",,,
"110106","2011-10-24","02:13","avenida engenheiro luthero lopes ","conjunto aero rancho","choque",,"9","10",,,,,,,,"8",,,,,,,,
"110107","2011-10-29","07:35","rua joaquim murtinho ","centro","colisão transversal",,"9",,,,,,,,"10",,,,,,,,,
"110108","2011-10-30","02:50","avenida afonso pena numeral (oposto) em frente","centro","choque",,"9","10",,,,,,,,,,,,,,,,
"110109","2011-11-02","06:35","avenida afonso pena ","centro","atropelamento",,"10",,,,,,,,,,,,,,,,,
"110110","2011-11-02","13:30","avenida ministro joao arinos ","tiradentes","queda",,"10",,,,,,,,,"8",,,,"9",,,,
"110111","2011-11-13","02:29","avenida fernando correa da costa ","centro","choque",,"10",,,,,,,,,,,,,,,,,
"110112","2011-11-14","18:30","avenida redentor ","cidade jardim","colisão transversal",,"8",,,,,"9",,,,,,,,,"10",,,
"110112","2011-11-14","18:30","avenida redentor ","cidade jardim","colisão transversal",,,,,,,,,,,,,,,,,,,
"110113","2011-10-25","16:30","rua padre mussa tuma n?0","jardim itamaraca","atropelamento",,"10",,,,,"8",,,,,,"9",,,,,,
"110114","2011-11-16","17:38","rua brilhante ","vila bandeirante","colisão frontal",,,,"9",,,"8",,,,,,,,"10",,,,
"110115","2011-11-19","08:38","avenida presidente ernesto geisel ","centro","colisão transversal",,"9",,,,,,,,,"8",,,"10",,,,,
"110116","2011-11-19","15:48","avenida ministro joao arinos ","tiradentes","choque",,"9","10",,,,,,,,"8",,,,,,,,
"110117","2011-11-25","14:44","avenida gury marques ","universitario","colisão lateral",,,"10",,,,,,,,,,,,"9",,,,
"110118","2011-11-29","23:24","avenida guaicurus ","universitario","colisão frontal",,,,,,,,,,,,"10",,,,,,,
"110119","2011-12-03","16:46","rua charlote ","jardim aero rancho","colisão transversal",,"9",,,,,,,,,,,,"10",,,,,
"110120","2011-12-04","23:20","avenida presidente ernesto geisel ","jardim jacy","atropelamento",,"9","10",,,,,,,,"8",,,,,,,,
"110121","2011-12-06","21:52","rua padre joao crippa ","centro","colisão transversal",,,,,,,,,,,"9",,,"10",,,,,
"110122","2011-12-10","01:00","avenida gabriel spipe calarge ","parati","colisão transversal",,"7","10",,,,,,,,"8",,,"9",,,,,
"110122","2011-12-10","01:00","avenida gabriel spipe calarge ","parati","colisão transversal",,,,,,,,,,,,,,,,,,,
"110123","2011-12-10","21:00","rodovia rod ms 0 km 0 ","zona rural","colisão frontal",,,,,,,,,,,"9","10",,,,,,,
"110124","2011-12-20","22:30","rua quatorze de julho ","centro","atropelamento",,,,,,,"9",,,,,,,,,"10",,,
"110125","2011-12-22","08:00","avenida professor heraclito diniz de figueiredo ",,"colisão frontal",,"10",,,,,,,,,,"9",,,,,,,
"110126","2011-12-24","16:00","rua henrique barbosa martins ","nova lima","colisão frontal",,,,,,,"8",,,,"9",,,"10",,,,,
"120001","2011-12-25","17:26","avenida bom pastor ","vila vilas boas","colisão transversal",,,,,,,,,,,"9",,,"10",,,,,
"120002","2012-01-06","21:50","rua araca com rua serra da bodoquena","coronel antonino","colisão frontal",,"10",,,,,"9",,,,,,,,,,,,
"120003","2012-01-10","19:40","avenida consul assaf trad rua antonio rahe","jardim campo alto","colisão transversal",,,,,,,"9",,,,,,"10",,,,,,
"120004","2012-01-11","12:55","rua diadema ","vila taquarussu","colisão lateral",,,,,,,"10",,,,,,,,,,,,
"120005","2012-01-16","06:55","avenida afonso pena .","centro","colisão transversal",,"9",,,,,,,,,,,,"10",,,,,
