"ID Ocorrencia","Data","Hora","Logradouro","Bairro","Natureza","Coordenadas","F1P","F2P","F3P","F4P","F5P","F6P","F7P","F8P","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","C10P"
"170051","2017-09-10","03:30","avenida nasri siufi apos a avenida conde de boa vi","sao jorge da lagoa","colisão frontal",,"8",,,,"4",,,,,"6",,,,,,,,
"170052","2017-09-13","13:25","avenida jose nogueira vieira n. ","tiradentes","atropelamento",,,,,,,,,"10",,,,,,,,,,
"170053","2017-09-20","20:44","avenida gunter hans em frente ao numeral 0",,"queda",,"8",,,,,,,,,"6",,,,,,,,"10"
"170054","2017-09-27","01:30","avenida mato grosso ","centro","choque",,"10",,,,,,,,,,,,,,,,,
"170054","2017-09-27","01:30","avenida mato grosso ","centro","choque",,,,,,,,,,,,,,,,,,,
"170055","2017-09-28","21:50","rua air silva de almeida ","estrela park","colisão frontal",,,,,,,,,,,"6",,,,"10",,,,
"170056","2017-09-30","04:50","rua ana luiza de souza ","universitario","colisão frontal",,"8",,,,,,,,,,,,,,,,,
"170057","2017-10-01","19:59","avenida duque de caxias defronte ao aeroporto internac","santo antonio","atropelamento",,"10",,,,,,,,,,,,,,,,,
"170058","2017-10-04","18:15","rua yokoama n.0","vila palmira","atropelamento",,,,,,,,,,,,,,,,,,,
"170059","2017-10-10","17:54","avenida senhor do bomfim entre as ruas mirangaba e rua","jd dos estados","atropelamento",,,,"10",,,,,,,,,,,,,,,
"170060","2017-11-01","09:45","avenida manoel da costa lima    ","guanandi","colisão transversal",,"6",,,,,,,,,,,,,,,,,
"170061","2017-11-02","00:14","avenida afonso pena    ","chacara cachoeira","colisão transversal",,"8",,,,,,,,"10",,,,,,,,,
"170062","2017-11-08","17:10","avenida manoel da costa lima    ","vila piratininga","colisão transversal",,,,,,,,,,,"8",,,"10",,,,,
"170063","2017-11-20","11:20","rua nhambiquara 0","jardim tijuca","colisão lateral",,"6",,,,,,,,,,,"10",,,,,,
"170064","2017-11-23","23:11","avenida ceara    ","centro",,,,,,,,,,,,"10",,,,,,,,
"170065","2017-11-25","04:13","rua ceara cruzamento","centro","atropelamento",,"10","8",,,,,,,,,,,,,,,,
"170066","2017-12-05","19:52","avenida gury marques em frente pre","universitario","colisão traseira",,"8",,"6",,,,,,,,,,,,,,,
"170067","2017-12-18","20:30","rua gualter barbosa    ","nova lima",,,,,,,,,,,,,,,,,,,,
"170068","2017-12-28","14:20","rua araraquara    ","jardim centro oeste","queda",,,,,,,,,,,,,,"10",,,,,
"170069","2017-12-28","16:00","rua brilhante    ","viila  bandeirantes","colisão transversal",,,,,,,,,"8","10",,,,,,,,,
"180001","2018-07-08","23:52","avenida julio de castilho ","vila alba","choque",,,"8",,,,,,,,"6",,,,,,,,
"180002","2018-10-05","18:20","rua ricardo franco    ","vila sobrinho","colisão transversal",,"6","8",,,,,,,,,,,,,,,,
"180003","2018-06-27","01:20","rua da paz    ","centro","colisão transversal",,"10","6",,,,,,,"8",,,,,,,,,
"180004","2018-12-22","23:48","rua rio de janeiro    ","monte castelo","colisão frontal",,,,,,,"8",,,,"6",,,,,"10",,,
"180005","2018-02-05","06:55","rua antonio rahe proximo a rua herminio grize","loteamento soter","colisão lateral",,"10",,"8",,,,,,,,,,,,,,,
"180006","2018-06-06","15:41","avenida vereador thyrson de almeida    ","jardim aero rancho",,,,,"8",,,,,,,,,"10",,,,,,
"180007","2018-07-21","04:30","avenida dos crisantemos proximo a rua zakia nahas siuf","lar do trabalhador","choque",,"8","6",,,,,,,,,,,,,,,,
"180008","2018-04-26","14:05","avenida consul assaf trad bifurcacao","jardim campo alto","colisão transversal",,"8",,,,,,,,"10",,,,,,,,,
"180009","2018-10-11","20:02","avenida jose barbosa rodrigues    ","jd jose pereira","queda",,,,"8",,,,,,,,,,,,,,,
"180010","2018-10-20","05:30","avenida prefeito heraclito diniz de figueiredo proximo a subestacao da energi","jd. seminario","choque",,,,,,,,,,,,,,,,,,,
"180011","2018-09-22","22:53","avenida amaro castro lima rua ","vila nova campo grande","colisão frontal",,"10",,,,,,,,,"8",,,,,,,,
"180012","2018-06-15","05:06","rua marechal candido mariano rondom ","centro","colisão frontal",,,,,,,,,,,,,,,,,,,
"180013","2018-08-06","15:30","rua trindade    ","jardim paulista","colisão transversal",,,,,,,,,,,,,,,,,,,
"180014","2018-05-27","04:57","avenida nasri siufi prox. r. conde de boa vista",,,,,"10",,,,,,,,"8",,,,,,,,
"180015","2018-02-03","20:31","avenida cezar augusto teles ","vila popular","atropelamento",,,,,,,,,,,,,,,,,,,
"180016","2018-01-12","12:50","rua  de julho ","jardim sao paulo","atropelamento",,,,,,,,,,,,,,,,,,,
"180017","2018-03-29","07:39","avenida das roseiras    ","buriti","atropelamento",,"8",,,,,,,,,"6",,,,,,,,
"180018","2018-10-21","19:29","rua canaa proximo n. 00/ frente clube d","monte castelo","choque",,"10",,,,,,,,,,,,,,,,,
"180019","2018-10-28","17:05","avenida capibaribe    ","jardim petropolis","colisão transversal",,"10",,,,,,,,,,,,,,,,,
"180020","2018-10-28","02:05","avenida julio de castilho ","bairro santo antonio","queda",,"10",,,,,,,,,,,,,,,,,
"180021","2018-03-24","13:10","rua jamil felix naglis    ","vila nascente","colisão transversal",,,,,,,,,,,"8",,,"10",,,,,
"180022","2018-06-28","09:30","avenida avenida consul assaf trad    ","nova lima","colisão traseira",,,,,,,,,,,"8",,,"10",,,,,
"180023","2018-12-09","14:00","avenida nelly martins    ","caranda bosque","colisão transversal",,"8",,"6",,,,,,,,,,,,,,"10",
"180024","2018-11-03","18:45","avenida guaicurus    ","jardim campo alto","atropelamento",,,,"8",,,,,,,,,,,,,,,
"180025","2018-02-17","02:51","rua minas novas ","vila cidade morena","queda",,"10",,,,,,,,,,,,,,,,,
