CD_MUN,NM_MUN,pc_iluminacao,classe_ilu,tx_atropelamento,classe_obt,classe_bivariada
3550100,São Manuel,96.06,Média,34.0617303359011,Alta,Média_Alta
3507803,Brodowski,97.6,Alta,45.8592884167081,Alta,Alta_Alta
3525102,Jardinópolis,97.89,Alta,10.6682597934625,Média,Alta_Média
3500709,Agudos,97.62,Alta,5.14416523058721,Baixa,Alta_Baixa
3519055,Holambra,97.69,Alta,19.2357014619133,Média,Alta_Média
3507407,Borborema,98.03,Alta,20.8116545265349,Média,Alta_Média
3513108,Cravinhos,97.75,Alta,20.4367628167698,Média,Alta_Média
3543006,Ribeirão Branco,82.46,Baixa,21.1304807184363,Média,Baixa_Média
3516853,Gavião Peixoto,97.68,Alta,20.8463623097769,Média,Alta_Média
3553302,Tambaú,93.89,Baixa,4.61212065307629,Baixa,Baixa_Baixa
3543600,Rifaina,95.77,Média,48.1000481000481,Alta,Média_Alta
3511508,Cerquilho,96.0,Média,19.4733539606638,Média,Média_Média
3520103,Igarapava,98.52,Alta,29.9009530928798,Alta,Alta_Alta
3513850,Dirce Reis,97.04,Média,0.0,Baixa,Média_Baixa
3536307,Patrocínio Paulista,88.13,Baixa,6.73990698928355,Baixa,Baixa_Baixa
3524105,Ituverava,98.6,Alta,10.4028503810044,Média,Alta_Média
3535507,Paraguaçu Paulista,96.59,Média,30.8883978425642,Alta,Média_Alta
3529203,Martinópolis,95.83,Média,43.4799794458279,Alta,Média_Alta
3516101,Florínea,95.48,Média,0.0,Baixa,Média_Baixa
3509403,Cajuru,96.05,Média,0.0,Baixa,Média_Baixa
3506359,Bertioga,92.99,Baixa,37.3842956051022,Alta,Baixa_Alta
3511201,Catiguá,88.78,Baixa,42.2237860661506,Alta,Baixa_Alta
3500501,Águas de Lindóia,97.29,Alta,0.0,Baixa,Alta_Baixa
3545159,Saltinho,90.16,Baixa,0.0,Baixa,Baixa_Baixa
3501301,Álvares Machado,94.24,Média,14.1592920353982,Média,Média_Média
3528007,Macatuba,94.23,Média,11.6822429906542,Média,Média_Média
3536208,Pariquera-Açu,92.46,Baixa,15.3248876174908,Média,Baixa_Média
3551603,Serra Negra,92.22,Baixa,29.1073738680466,Alta,Baixa_Alta
3507100,Bom Jesus dos Perdões,92.1,Baixa,26.665481534154,Alta,Baixa_Alta
3525706,José Bonifácio,97.73,Alta,26.4137985683721,Alta,Alta_Alta
3541307,Presidente Epitácio,96.31,Média,34.6680533888022,Alta,Média_Alta
3541703,Quatá,98.22,Alta,22.3897305769087,Alta,Alta_Alta
3543105,Ribeirão Corrente,92.68,Baixa,0.0,Baixa,Baixa_Baixa
3501707,Américo Brasiliense,98.43,Alta,20.7364398495127,Média,Alta_Média
3529708,Miguelópolis,95.89,Média,20.351055711015,Média,Média_Média
3509106,Caiuá,95.19,Média,0.0,Baixa,Média_Baixa
3550407,São Pedro,94.23,Média,22.6557583385777,Alta,Média_Alta
3521002,Iperó,81.34,Baixa,15.7898892076107,Média,Baixa_Média
3520426,Ilha Comprida,79.06,Baixa,28.6635614475099,Alta,Baixa_Alta
3525201,Jarinu,70.63,Baixa,10.1186410665048,Média,Baixa_Média
3526001,Junqueirópolis,98.01,Alta,28.7383849027685,Alta,Alta_Alta
3515608,Fernando Prestes,97.19,Alta,16.4853280580284,Média,Alta_Média
3509908,Cananéia,90.9,Baixa,0.0,Baixa,Baixa_Baixa
3515400,Fartura,94.24,Média,5.88789448893076,Baixa,Média_Baixa
3505807,Bastos,98.93,Alta,9.1324200913242,Média,Alta_Média
3540259,Pontalinda,97.7,Alta,0.0,Baixa,Alta_Baixa
3539202,Pirapozinho,94.94,Média,15.3462497602148,Média,Média_Média
3506409,Bilac,98.36,Alta,0.0,Baixa,Alta_Baixa
3553856,Taquarivaí,78.35,Baixa,14.0607424071991,Média,Baixa_Média
3505005,Barão de Antonina,95.83,Média,55.2791597567717,Alta,Média_Alta
3536802,Pedra Bela,89.13,Baixa,14.8853825543316,Média,Baixa_Média
3531506,Monte Azul Paulista,96.97,Média,0.0,Baixa,Média_Baixa
3510807,Casa Branca,95.88,Média,13.8956437156951,Média,Média_Média
3540754,Potim,90.52,Baixa,9.63066403428516,Média,Baixa_Média
3506300,Bernardino de Campos,96.74,Média,16.8747890651367,Média,Média_Média
3542107,Rafard,94.13,Média,0.0,Baixa,Média_Baixa
3543253,Ribeirão Grande,92.0,Baixa,13.2100396301189,Média,Baixa_Média
3503158,Arapeí,88.59,Baixa,0.0,Baixa,Baixa_Baixa
3553955,Tarumã,99.33,Alta,32.791185729276,Alta,Alta_Alta
3536406,Paulicéia,94.07,Média,12.1951219512195,Média,Média_Média
3505203,Bariri,98.96,Alta,15.4297176361673,Média,Alta_Média
3514908,Elias Fausto,93.54,Baixa,5.52394630724189,Baixa,Baixa_Baixa
3537909,Pilar do Sul,67.96,Baixa,17.5951015237358,Média,Baixa_Média
3550803,São Sebastião da Grama,96.94,Média,19.0766882869134,Média,Média_Média
3520905,Ipaussu,95.98,Média,7.17720519629656,Baixa,Média_Baixa
3538501,Piquete,99.07,Alta,7.95544948289578,Baixa,Alta_Baixa
